"","Data","Method","metric","slice","difference","Df","T","p-value"," "
"646","Eutherians","Slices:punctuated","sum.range","135:130",-23.1,24,-1.06,1," "
"647","Eutherians","Slices:punctuated","sum.range","130:125",6.12,27,0.304,1," "
"648","Eutherians","Slices:punctuated","sum.range","125:120",3.63,27,0.183,1," "
"649","Eutherians","Slices:punctuated","sum.range","120:115",-25.13,28,-1.359,1," "
"650","Eutherians","Slices:punctuated","sum.range","115:110",-2.77,33,-0.154,1," "
"651","Eutherians","Slices:punctuated","sum.range","110:105",-12.13,38,-0.675,1," "
"652","Eutherians","Slices:punctuated","sum.range","105:100",-20.4,44,-1.212,1," "
"653","Eutherians","Slices:punctuated","sum.range","100:95",-8.31,47,-0.527,1," "
"654","Eutherians","Slices:punctuated","sum.range","95:90",-18.12,52,-1.175,1," "
"655","Eutherians","Slices:punctuated","sum.range","90:85",-0.85,58,-0.053,1," "
"656","Eutherians","Slices:punctuated","sum.range","85:80",-17.46,64,-1.121,1," "
"657","Eutherians","Slices:punctuated","sum.range","80:75",14.98,66,0.964,1," "
"658","Eutherians","Slices:punctuated","sum.range","75:70",-33.25,73,-2.144,1," "
"659","Eutherians","Slices:punctuated","sum.range","70:65",-3.55,84,-0.254,1," "
"660","Eutherians","Slices:punctuated","sum.range","65:60",21.88,76,1.52,1," "
"661","Eutherians","Slices:punctuated","sum.range","60:55",3.15,67,0.206,1," "
"662","Eutherians","Slices:punctuated","sum.range","55:50",34.86,59,2.14,1," "
"663","Eutherians","Slices:punctuated","sum.range","50:45",21.26,48,1.253,1," "
"664","Eutherians","Slices:punctuated","sum.range","45:40",-2.41,44,-0.151,1," "
"665","Eutherians","Slices:punctuated","sum.range","40:35",21.62,40,1.325,1," "
"666","Eutherians","Slices:punctuated","sum.range","35:30",25.76,33,1.501,1," "
"667","Eutherians","Slices:punctuated","sum.range","30:25",5.85,29,0.36,1," "
"668","Eutherians","Slices:punctuated","sum.range","25:20",4.76,28,0.307,1," "
"669","Eutherians","Slices:punctuated","sum.range","20:15",0.72,27,0.047,1," "
"670","Eutherians","Slices:punctuated","sum.range","15:10",0.51,26,0.032,1," "
"671","Eutherians","Slices:punctuated","sum.range","10:5",0.19,26,0.012,1," "
"672","Eutherians","Slices:punctuated","sum.range","5:0",-0.68,26,-0.043,1," "
"673","Eutherians","Slices:ACCTRAN","sum.range","170:165",-18.76,5,-0.512,1," "
"674","Eutherians","Slices:ACCTRAN","sum.range","165:160",-18.23,7,-0.566,1," "
"675","Eutherians","Slices:ACCTRAN","sum.range","160:155",-44.12,10,-1.539,1," "
"676","Eutherians","Slices:ACCTRAN","sum.range","155:150",5.91,11,0.212,1," "
"677","Eutherians","Slices:ACCTRAN","sum.range","150:145",-43.69,13,-1.752,1," "
"678","Eutherians","Slices:ACCTRAN","sum.range","145:140",20.57,15,0.868,1," "
"679","Eutherians","Slices:ACCTRAN","sum.range","140:135",-40.87,18,-1.834,1," "
"680","Eutherians","Slices:ACCTRAN","sum.range","135:130",-22.22,24,-1.149,1," "
"681","Eutherians","Slices:ACCTRAN","sum.range","130:125",-10.92,27,-0.571,1," "
"682","Eutherians","Slices:ACCTRAN","sum.range","125:120",19,27,0.985,1," "
"683","Eutherians","Slices:ACCTRAN","sum.range","120:115",-19.4,28,-1.057,1," "
"684","Eutherians","Slices:ACCTRAN","sum.range","115:110",-13.95,33,-0.787,1," "
"685","Eutherians","Slices:ACCTRAN","sum.range","110:105",-15.99,38,-0.942,1," "
"686","Eutherians","Slices:ACCTRAN","sum.range","105:100",-10.16,44,-0.653,1," "
"687","Eutherians","Slices:ACCTRAN","sum.range","100:95",0.99,47,0.065,1," "
"688","Eutherians","Slices:ACCTRAN","sum.range","95:90",-36.47,52,-2.359,0.75132," "
"689","Eutherians","Slices:ACCTRAN","sum.range","90:85",11.62,58,0.782,1," "
"690","Eutherians","Slices:ACCTRAN","sum.range","85:80",-28.8,64,-1.932,1," "
"691","Eutherians","Slices:ACCTRAN","sum.range","80:75",24.71,66,1.634,1," "
"692","Eutherians","Slices:ACCTRAN","sum.range","75:70",-40.85,73,-2.685,0.30517," "
"693","Eutherians","Slices:ACCTRAN","sum.range","70:65",-4.55,84,-0.318,1," "
"694","Eutherians","Slices:ACCTRAN","sum.range","65:60",19.01,76,1.321,1," "
"695","Eutherians","Slices:ACCTRAN","sum.range","60:55",7.72,67,0.51,1," "
"696","Eutherians","Slices:ACCTRAN","sum.range","55:50",27.35,59,1.705,1," "
"697","Eutherians","Slices:ACCTRAN","sum.range","50:45",19.03,48,1.15,1," "
"698","Eutherians","Slices:ACCTRAN","sum.range","45:40",4.18,44,0.25,1," "
"699","Eutherians","Slices:ACCTRAN","sum.range","40:35",25.58,40,1.542,1," "
"700","Eutherians","Slices:ACCTRAN","sum.range","35:30",11.16,33,0.654,1," "
"701","Eutherians","Slices:ACCTRAN","sum.range","30:25",15.01,29,0.802,1," "
"702","Eutherians","Slices:ACCTRAN","sum.range","25:20",2.75,28,0.138,1," "
"703","Eutherians","Slices:ACCTRAN","sum.range","20:15",-2.74,27,-0.138,1," "
"704","Eutherians","Slices:ACCTRAN","sum.range","15:10",1.25,26,0.068,1," "
"705","Eutherians","Slices:ACCTRAN","sum.range","10:5",-2.28,26,-0.125,1," "
"706","Eutherians","Slices:ACCTRAN","sum.range","5:0",18.32,26,1.058,1," "
"707","Eutherians","Slices:DELTRAN","sum.range","170:165",-29.79,5,-0.861,1," "
"708","Eutherians","Slices:DELTRAN","sum.range","165:160",-21.31,7,-0.705,1," "
"709","Eutherians","Slices:DELTRAN","sum.range","160:155",-36.58,10,-1.386,1," "
"710","Eutherians","Slices:DELTRAN","sum.range","155:150",16.74,11,0.652,1," "
"711","Eutherians","Slices:DELTRAN","sum.range","150:145",-40.77,13,-1.618,1," "
"712","Eutherians","Slices:DELTRAN","sum.range","145:140",9.62,15,0.405,1," "
"713","Eutherians","Slices:DELTRAN","sum.range","140:135",-44.72,18,-1.948,1," "
"714","Eutherians","Slices:DELTRAN","sum.range","135:130",-18.35,24,-0.932,1," "
"715","Eutherians","Slices:DELTRAN","sum.range","130:125",-7.62,27,-0.404,1," "
"716","Eutherians","Slices:DELTRAN","sum.range","125:120",13.29,27,0.718,1," "
"717","Eutherians","Slices:DELTRAN","sum.range","120:115",-15.39,28,-0.867,1," "
"718","Eutherians","Slices:DELTRAN","sum.range","115:110",-16.96,33,-0.982,1," "
"719","Eutherians","Slices:DELTRAN","sum.range","110:105",-10.79,38,-0.657,1," "
"720","Eutherians","Slices:DELTRAN","sum.range","105:100",-20.18,44,-1.25,1," "
"721","Eutherians","Slices:DELTRAN","sum.range","100:95",5.3,47,0.338,1," "
